字,聲母,介音,韻腹,韻尾,聲調,注
叨,tʰ,,a,u,1,
叩,kʰ,,ɛ,u,5,
只,t,,a,ʔ,7,白
只,t,,i,,3,文
叫,tɕ,j,a,u,5,
召,tʰ,,ɛ,u,6,
可,kʰ,,o,,3,
台,tʰ,,a,i,2,
史,s,,ɿ,,3,
右,,j,u,,6,
葉,,j,ɛ,t,8,
號,h,,a,u,6,
司,s,,ɿ,,1,
嘆,h,,a,n,5,白
嘆,tʰ,,a,n,5,文
吃,tɕʰ,j,a,ʔ,7,白
吃,tɕʰ,,i,ʔ,7,文
各,k,,o,ʔ,7,
合,h,,o,t,8,
吉,tɕ,,i,t,7,
吊,t,j,a,u,5,
同,tʰ,,u,ŋ,2,
名,m,j,a,ŋ,2,白
名,m,,i,n,2,文
后,h,,ɛ,u,6,
吏,t,,i,,6,
吐,tʰ,,u,,5,
向,ɕ,j,o,ŋ,5,
嚇,h,,a,ʔ,7,
呂,t,,i,,3,
君,tɕ,,y,n,1,
吝,t,,i,n,6,
吞,h,,ɛ,n,1,白
吞,tʰ,,ɛ,n,1,文
吟,n,,i,n,2,
吠,f,,i,,6,
否,f,,ɛ,u,3,
含,h,,o,n,2,
聽,tʰ,j,a,ŋ,1,白
聽,tʰ,,i,n,1,文
聽,tʰ,,i,n,5,文
啓,tɕʰ,,i,,3,
吳,,,u,,2,
吵,tsʰ,,a,u,3,
吸,ɕ,,i,t,7,
吹,tʰ,w,i,,1,
吻,,,u,n,3,
吼,h,,ɛ,u,3,白
吾,ŋ,,u,,2,
呆,ŋ,,o,i,2,
呈,tʰ,,i,n,2,
告,k,,a,u,5,
嘔,,,ɛ,u,3,
員,,ɥ,o,n,2,
周,t,j,u,,1,
味,,w,i,,6,
呼,f,,u,,1,
命,m,j,a,ŋ,6,白
命,m,,i,n,6,文
和,,w,o,,6,白
和,f,,o,,2,文
咎,tɕʰ,j,u,,6,
詠,,,y,n,6,
咒,t,j,u,,5,
咨,ts,,ɿ,,1,
咬,ŋ,,a,u,3,
咸,h,,a,n,2,
哀,ŋ,,o,i,1,
品,pʰ,,i,n,3,
哂,ɕ,,i,n,3,
響,ɕ,j,o,ŋ,3,
啞,ŋ,,a,,3,
哥,k,,o,,1,
哭,kʰ,,u,ʔ,7,
哲,t,,ɛ,t,7,
哽,k,,ɛ,n,3,
脣,s,,u,n,2,
唐,tʰ,,o,ŋ,2,
喚,f,,o,n,5,
售,tʰ,j,u,,3,白
售,ɕ,j,u,,2,文
唯,,w,i,,2,
唱,tʰ,,o,ŋ,5,
唾,tʰ,,o,,5,
啄,t,,o,ʔ,8,
商,s,,o,ŋ,1,
嘯,ɕ,j,a,u,5,
喂,,w,i,,5,
善,s,,ɛ,n,6,
喉,h,,ɛ,u,2,
喊,h,,a,n,3,
喘,tʰ,,o,n,3,
喜,ɕ,,i,,3,
喝,h,,o,t,7,
喧,ɕ,ɥ,o,n,1,
噴,pʰ,,u,n,1,
喻,,,i,,6,
嗅,ɕ,j,u,ŋ,5,白
嗅,ɕ,j,u,,5,文
嗓,s,,o,ŋ,3,
嗜,ɕ,,i,,6,
嗟,tɕ,j,a,,1,
嗣,s,,ɿ,,6,
嗤,tʰ,,i,,1,
嗽,s,,ɛ,u,5,
嘉,k,,a,,1,
噓,ɕ,,i,,1,
囑,t,,u,ʔ,7,
嘴,tɕ,,i,,3,
嘻,ɕ,,i,,1,
噎,,j,ɛ,t,7,
器,tɕʰ,,i,,5,
囂,ɕ,j,a,u,1,
嚼,tɕ,j,o,ʔ,8,
囊,l,,o,ŋ,2,
囚,ɕ,j,u,,2,
四,s,,ɿ,,5,
回,f,,i,,2,
因,,,i,n,1,
團,h,,o,n,2,白
團,tʰ,,o,n,2,文
園,,ɥ,o,n,2,
困,kʰ,,u,n,5,
圍,,w,i,,2,
固,k,,u,,5,
國,k,w,ɛ,ʔ,7,
圖,tʰ,,u,,2,
圓,,ɥ,o,n,2,
圈,tɕʰ,ɥ,o,n,1,
土,tʰ,,u,,3,
聖,ɕ,,i,n,5,
在,tsʰ,,a,i,6,
圭,k,w,i,,1,
地,tʰ,,i,,6,
場,tʰ,,o,ŋ,2,
均,tɕ,,y,n,1,
壞,f,,a,i,6,
坐,tsʰ,,o,,6,
坑,kʰ,,a,ŋ,1,白
坑,kʰ,,ɛ,n,1,文
塊,kʰ,w,a,i,5,
堅,tɕ,j,ɛ,n,1,
壇,tʰ,,a,n,2,
墳,f,,u,n,2,
墜,tʰ,w,i,,6,白
坡,p,,o,,1,
坤,kʰ,,u,n,1,
坦,tʰ,,a,n,3,
坳,,,a,u,5,
垂,s,w,i,,2,
壘,l,w,i,,3,
垢,k,,ɛ,u,5,
垣,,ɥ,o,n,2,
墾,kʰ,,ɛ,n,3,
墊,tʰ,j,ɛ,n,6,
埃,,,a,i,2,
埋,m,,o,i,2,
埋,m,,a,i,2,
城,s,,a,ŋ,2,白
城,ɕ,,i,n,2,文
域,,,y,,5,新
培,pʰ,,i,,2,
培,pʰ,,o,i,2,
基,tɕ,,i,,1,
堂,tʰ,,o,ŋ,2,
堆,t,w,o,i,1,
堆,t,w,i,,1,
墮,tʰ,,o,,5,
堤,tʰ,,i,,2,
堪,kʰ,,o,n,1,
堵,t,,u,,3,
塌,tʰ,,a,t,7,
塔,tʰ,,a,t,7,
塞,s,,ɛ,ʔ,7,
填,tʰ,j,ɛ,n,2,
境,tɕ,,i,n,5,
墅,s,,u,,6,
牆,tɕʰ,j,o,ŋ,2,
增,ts,,ɛ,n,1,
墟,ɕ,,i,,1,
墨,m,,ɛ,ʔ,8,
