字,聲母,介音,韻腹,韻尾,聲調,注
咎,tɕʰ,i,u,,6,
咏,,,y,n,6,
咒,t,i,u,,5,
咨,ts,,ɿ,,1,
咬,ŋ,,a,u,3,
咸,h,,a,m,2,
哀,ŋ,,o,i,1,
品,pʰ,,ə,n,3,白
品,pʰ,,i,n,3,
哂,ɕ,,i,n,3,
響,ɕ,i,o,ŋ,3,
啞,ŋ,,a,,3,
哥,k,,o,,1,
哭,kʰ,,u,ʔ,7,
哲,t,,ɛ,t,7,
哽,k,,ɛ,n,3,
脣,s,u,ə,n,2,
唐,tʰ,,o,ŋ,2,
喚,f,,o,n,5,
售,tʰ,i,u,,3,白
售,ɕ,i,u,,2,
唯,,u,i,,2,
唱,tʰ,,o,ŋ,5,
唾,tʰ,,o,,5,
啄,t,,o,ʔ,8,
商,s,,o,ŋ,1,
嘯,ɕ,i,a,u,5,
喂,,u,i,,5,
善,s,,ɛ,n,6,
喉,h,,ɛ,u,2,
喊,h,,a,m,3,
喘,tʰ,,o,n,3,
喜,ɕ,,i,,3,
喝,h,,o,t,7,
喧,ɕ,y,o,n,1,
噴,f,,ə,n,5,
喻,,,i,,6,
嗅,ɕ,i,u,ŋ,5,白
嗅,ɕ,i,u,,5,
嗓,s,,o,ŋ,3,
嗜,ɕ,,i,,6,
嗟,tɕ,i,a,,1,
嗣,s,,ɿ,,6,
嗤,tʰ,,i,,1,
嗽,s,,ɛ,u,5,
嘉,k,,a,,1,
噓,ɕ,,i,,1,
囑,t,,u,ʔ,7,
嘴,tɕ,,i,,3,
嘻,ɕ,,i,,1,
噎,,i,ɛ,t,7,
器,tɕʰ,,i,,5,
囂,ɕ,i,a,u,1,
嚼,tɕ,i,o,ʔ,8,
囊,l,,o,ŋ,2,
囚,ɕ,i,u,,2,
四,s,,ɿ,,5,
回,f,,ə,i,2,
因,,,i,n,1,
团,h,,o,n,2,白
团,tʰ,,o,n,2,
園,,y,o,n,2,
困,kʰ,u,ə,n,5,
圍,,u,i,,2,
固,k,,u,,5,
